"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0,0,0,0,0,1,1,1,1,1,0,1,1,1,1
"2",0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
"3",0,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"4",0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
"5",1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
"6",0,0,0,0,0,0,1,1,1,1,0,0,1,1,0
"7",0,0,1,0,0,1,0,1,1,1,1,1,1,1,1
"8",0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
"9",0,0,1,0,0,1,0,0,0,1,0,1,1,0,0
"10",1,0,0,1,0,1,1,1,1,1,0,1,1,0,1
"11",0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
"12",0,0,0,1,0,1,1,1,0,1,0,0,1,1,1
"13",0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
"14",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
"15",0,0,0,0,1,0,0,0,0,1,0,1,1,0,1
"16",1,0,0,1,0,1,1,1,1,1,0,1,1,1,1
"17",0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
"18",0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"19",0,0,1,0,1,1,1,1,0,1,0,1,1,0,0
"20",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"21",0,1,0,0,0,0,0,0,0,1,0,1,1,0,1
"22",0,0,0,1,0,0,0,0,1,1,0,1,1,1,1
"23",0,0,0,0,0,1,0,1,0,1,0,1,1,1,0
"24",0,0,1,0,0,1,1,1,0,1,0,1,1,1,1
"25",0,0,0,0,0,1,1,1,0,1,0,1,1,1,0
"26",1,0,0,0,1,1,1,1,1,1,0,1,1,1,1
"27",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"28",0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"29",0,0,0,0,0,1,0,1,1,1,0,1,1,0,1
"30",1,0,1,0,1,1,1,1,1,1,0,1,1,1,1
"31",0,0,0,0,0,1,1,0,0,1,0,1,1,1,1
"32",0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
"33",0,0,1,0,0,1,0,1,0,1,0,1,1,1,1
"34",1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
"35",0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
"36",0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"37",1,1,1,1,0,1,1,1,0,1,0,1,1,1,1
"38",0,1,1,0,1,1,1,1,0,1,0,1,1,1,1
"39",1,0,1,0,0,1,0,1,1,1,0,1,1,1,1
"40",0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
