"Hls1","Hls2","Hls3","Hls4","Hls5","Hls6","Hls7","Hls8","Hls9","Hls10","Hls11","Hls12","Hls13","Hls14","Hls15","Hls16"
"0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"1","0","0","0","1","0","0","1","0","0","1","1","1","0","0","1"
"0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0"
"0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","1"
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","1"
"0","0","0","0","0","0","1","1","1","0","1","1","0","0","1","1"
"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","1"
"1","0","0","0","1","0","0","1","1","1","1","0","0","1","1","1"
"1","0","0","0","1","0","0","1","0","0","0","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1"
"0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","1"
"1","0","0","0","1","0","0","1","1","0","1","1","1","1","1","1"
"0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"0","0","0","1","1","0","0","0","0","0","1","1","0","0","1","0"
"1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"0","0","0","0","0","0","0","1","0","0","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0","0","0","0","0","0","0","1","0","0","1","1","0","1","1","1"
"0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0"
"0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"1","1","0","0","1","1","1","1","0","0","0","1","1","0","0","1"
